m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.02d02	Detroit Tigers	sports.professional_sports_team,sports.sports_team,award.award_nominee,business.employer
m.0hmtk	New York Rangers	sports.professional_sports_team,sports.sports_team,award.award_nominee,award.award_winner
m.026x_1	Sydney Roosters	sports.sports_team
m.02c_4	Detroit Lions	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,book.book_subject,business.employer
m.0dnl3j	Nîmes Olympique	organization.organization,sports.sports_team,soccer.football_team
m.02gtm4	Hanshin Tigers	sports.sports_team,business.employer
m.0gyt1bl	Canton Charge	organization.organization,sports.sports_team,basketball.basketball_team
m.01rly6	Blackburn Rovers F.C.	sports.sports_team,soccer.football_team
m.04mrfv	Perth Glory FC	organization.organization,sports.sports_team,soccer.football_team
m.0cqt41	New York Yankees	sports.professional_sports_team,organization.organization,sports.sports_team,film.person_or_entity_appearing_in_film,film.film_subject,award.award_nominee,award.award_winner,book.book_subject,business.employer
m.04gw938	Guerreros de Oaxaca	sports.sports_team
m.05xvj	Philadelphia Phillies	sports.professional_sports_team,organization.organization,sports.sports_team,tv.tv_actor,award.award_nominee,business.employer
m.0182r9	Sheffield Wednesday F.C.	organization.organization,sports.professional_sports_team,sports.sports_team,award.award_nominee,business.employer,soccer.football_team
m.05m_8	Oakland Athletics	sports.professional_sports_team,organization.organization,sports.sports_team,business.business_operation,business.employer
m.04043ry	Washington Kastles	sports.professional_sports_team,sports.sports_team,business.employer
m.02b0zt	Hartlepool United F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.05g3v	New Orleans Saints	organization.organization,sports.professional_sports_team,sports.sports_team,american_football.football_team,award.award_nominee,business.brand,award.award_winner
m.01y3v	Chicago Bears	award.award_presenting_organization,sports.professional_sports_team,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner
m.07147	San Diego Padres	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_winner,business.employer
m.0284h6	Millwall F.C.	organization.organization,sports.sports_team,award.award_nominee,business.employer,soccer.football_team
m.05cwq4	Cirencester Town F.C.	sports.sports_team,business.employer,soccer.football_team
m.02yfnd	Wasps RFC	sports.professional_sports_team,sports.sports_team,travel.tourist_attraction
m.02b19t	Burton Albion F.C.	sports.sports_team,award.award_nominee,business.employer,soccer.football_team
m.03_8bb	Rotherham R.U.F.C.	organization.organization,sports.sports_team
m.0bs31sl	Montreal Impact	organization.organization,sports.sports_team,soccer.football_team
m.0dyb8d	Celano F.C. Marsica	organization.organization,sports.sports_team,soccer.football_team
m.04ltf	Liverpool F.C.	sports.sports_award_winner,sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee,award.award_winner,business.employer,soccer.football_team
m.08vk_r	Genoa C.F.C.	organization.organization,sports.sports_team,soccer.football_team
m.03lpp_	Washington Nationals	sports.professional_sports_team,sports.sports_team
m.049f88	Vicenza Calcio	organization.organization,sports.sports_team,soccer.football_team
m.07l8f	Tampa Bay Rays	sports.professional_sports_team,sports.sports_team,tv.tv_actor,award.award_nominee
m.02b1hb	Dagenham & Redbridge F.C.	organization.organization,sports.sports_team,award.award_nominee,soccer.football_team
m.01nvlc	Winnipeg Jets	organization.organization,sports.sports_team
m.049n7	Kansas City Royals	sports.professional_sports_team,organization.organization,sports.sports_team,business.business_operation,business.employer
m.01kc4s	Cambridge United F.C.	organization.organization,sports.sports_team,soccer.football_team
m.02jgm0	NAC Breda	organization.organization,sports.sports_team,soccer.football_team
m.051wf	Montreal Expos	sports.professional_sports_team,sports.sports_team
m.09rlbv	Düsseldorfer EG	organization.organization,sports.sports_team
m.0hcm7	Accrington Stanley F.C.	organization.organization,sports.sports_team,soccer.football_team
m.05l71	Oakland Raiders	organization.organization,sports.professional_sports_team,sports.sports_team,american_football.football_team,film.person_or_entity_appearing_in_film,tv.tv_actor,film.film_subject,business.employer
m.02rh_0	S.L. Benfica	organization.organization,sports.sports_team,business.business_operation,business.employer,soccer.football_team
m.02b0_m	Peterborough United F.C.	organization.organization,sports.sports_team,soccer.football_team
m.05g3b	New England Patriots	sports.professional_sports_team,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,tv.tv_actor,award.award_nominee,award.award_winner,book.book_subject,business.employer
m.05pcr	Ottawa Senators	sports.professional_sports_team,organization.organization,sports.sports_team
m.02p6lm8	Capitanes de Arecibo	organization.organization,sports.sports_team,business.employer
m.01k6zy	Edmonton Eskimos	american_football.football_team,sports.sports_team
m.02b168	Leyton Orient F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.06xdd0	Ashington A.F.C.	sports.sports_team,soccer.football_team
m.01kj5h	Blackpool F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0j2pg	Brighton & Hove Albion F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.043b_5	Quebec Nordiques	organization.organization,sports.sports_team,business.business_operation,business.employer
m.03mytj	Ashford Town F.C.	sports.sports_team,soccer.football_team
m.03c93sg	Rumney RFC	organization.organization,sports.sports_team
m.0bh9_tg	Piráti Chomutov	organization.organization,sports.sports_team
m.05q8f6_	Ayutthaya F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.02b1mc	Stevenage F.C.	sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.03fhq6	FC Sheriff Tiraspol	organization.organization,sports.sports_team,soccer.football_team
m.01xn721	Deportivo Maldonado	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0lhp1	Real Zaragoza	organization.organization,sports.sports_team,soccer.football_team
m.05q21y	Jilin Northeast Tigers	organization.organization,sports.sports_team,basketball.basketball_team
m.0196bp	Sunderland A.F.C.	sports.sports_award_winner,architecture.architectural_structure_owner,organization.organization,sports.professional_sports_team,sports.sports_team,award.award_nominee,award.award_winner,business.employer,soccer.football_team
m.03mx9r	Airbus UK Broughton F.C.	organization.organization,sports.sports_team,soccer.football_team
m.025yp8j	Piemonte Volley	organization.organization,sports.sports_team
m.0b2gt4	MFK Ružomberok	organization.organization,sports.sports_team,soccer.football_team
m.01whvs	AFC Wimbledon	organization.organization,sports.sports_team,soccer.football_team
m.0h3xlqg	Atlético Madrid Féminas	organization.organization,sports.sports_team,soccer.football_team
m.06qft9	Club Ferro Carril Oeste	organization.organization,sports.sports_team,soccer.football_team
m.07l2m	Tennessee Titans	sports.professional_sports_team,american_football.football_team,sports.sports_team,award.award_nominee
m.049f05	VfL Wolfsburg	organization.organization,sports.sports_team,award.award_nominee,soccer.football_team
m.0d7h4v	SC Young Fellows Juventus	organization.organization,sports.sports_team,soccer.football_team
m.0jm74	Chicago Bulls	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,award.award_nominee,award.award_winner
m.07r78j	Torino F.C.	organization.organization,sports.sports_team,soccer.football_team
m.043vc	Jacksonville Jaguars	sports.professional_sports_team,american_football.football_team,sports.sports_team,business.employer
m.057pp2	K.A.S. Eupen	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0wsr	Atlanta Falcons	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,business.brand,business.employer
m.01532p	FK Bodø/Glimt	organization.organization,sports.sports_team,soccer.football_team
m.0jm4v	Philadelphia 76ers	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,award.award_winner
m.05cvr9	Esporte Clube Juventude	organization.organization,sports.sports_team,soccer.football_team
m.029q3k	Notts County F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.01ct6	Baltimore Ravens	symbols.namesake,sports.professional_sports_team,sports.sport,sports.sports_team,american_football.football_team,film.person_or_entity_appearing_in_film,tv.tv_actor,film.film_subject,award.award_nominee
m.0487_	Kansas City Chiefs	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner
